num_viewed,num_completed,num_transactions,money_spent
4,3,8,127.6
5,3,5,79.46000000000001
3,3,8,196.86
4,3,12,154.05000000000004
4,3,18,48.339999999999996
2,1,17,68.50999999999999
2,2,6,138.36
4,5,12,347.37999999999994
3,1,4,20.36
3,3,5,144.14
3,5,15,375.12000000000006
4,2,7,121.85
2,3,17,62.93
3,0,4,6.260000000000001
5,0,7,16.18
5,4,12,279.16
3,2,9,105.82999999999998
5,1,11,166.40000000000003
5,4,8,218.04999999999998
2,0,5,20.53
5,3,5,133.25
2,3,10,163.92
2,3,8,219.63
4,0,4,53.55
4,3,7,77.21000000000001
4,5,8,150.64
2,1,3,63.5
4,4,8,164.01
4,3,5,124.09
3,0,2,6.9799999999999995
4,0,2,2.59
4,3,11,241.54999999999995
4,3,14,134.74
4,0,9,26.98
3,2,3,64.27
3,1,8,26.18
4,5,12,334.63999999999993
5,4,19,59.62
3,5,7,162.42000000000002
4,1,2,44.599999999999994
3,2,20,191.54999999999998
4,1,2,23.07
3,1,7,30.98
2,3,11,236.96
4,0,1,4.03
4,0,5,15.79
4,4,10,186.22999999999996
3,1,3,80.1
2,1,3,76.65
3,5,11,144.97
4,4,18,129.86
3,1,5,20.2
4,0,3,64.04
2,3,6,191.68
3,2,6,176.74
5,3,20,69.17999999999999
3,2,8,154.98999999999998
4,3,9,186.54000000000002
3,0,4,6.32
5,5,16,417.93
5,3,10,287.11
3,3,10,199.64999999999998
5,5,10,235.41
1,1,3,18.28
4,0,6,14.29
3,2,5,83.2
3,0,5,10.330000000000002
4,4,8,161.51000000000002
2,1,3,45.79
2,0,15,55.17999999999999
5,3,9,131.04999999999998
2,3,9,198.08999999999997
3,1,8,58.28
3,3,13,151.82999999999998
5,2,13,110.52000000000001
4,1,18,50.550000000000004
6,2,3,64.33000000000001
5,4,13,98.64999999999999
2,2,2,37.04
2,3,2,54.620000000000005
4,5,10,248.65
3,1,4,61.120000000000005
3,4,10,222.95999999999998
4,3,21,141.20000000000002
2,0,7,16.48
2,2,6,156.05
3,1,3,57.1
4,5,12,251.45999999999998
5,4,12,162.89999999999998
1,0,8,39.74
4,0,0,0.0
1,2,4,86.26
3,1,15,101.19
3,2,8,181.16
4,0,8,17.96
1,2,5,135.57999999999998
2,1,3,53.92
2,2,8,166.58999999999997
3,2,5,97.64
1,0,10,161.89000000000001
4,4,9,139.41000000000003
4,6,9,195.01000000000002
4,2,4,71.95
3,3,16,44.69
2,1,11,34.88
5,4,13,232.9
5,3,18,252.14000000000004
3,3,12,218.50999999999996
3,4,13,230.21
3,1,9,223.7
6,3,14,247.26
6,5,5,86.28
2,2,10,23.169999999999998
3,3,4,59.09
3,5,23,371.9100000000001
5,3,8,34.010000000000005
5,1,10,21.57
4,2,18,50.09
2,0,7,27.999999999999996
4,4,11,193.38
4,2,16,47.449999999999996
4,2,4,89.37
3,0,10,22.650000000000002
3,2,14,27.9
6,0,1,10.36
2,0,6,17.18
4,1,1,26.38
2,1,6,14.860000000000001
3,0,5,49.290000000000006
4,4,12,204.48999999999998
2,1,11,24.549999999999997
2,1,5,18.95
3,1,3,72.4
3,5,14,372.02
2,1,3,69.77000000000001
4,4,6,114.77
6,3,2,53.69
3,3,8,126.42
2,2,13,39.91000000000001
2,1,16,47.81
4,1,11,400.15999999999997
2,3,4,91.81
1,0,10,29.889999999999997
1,1,3,78.94
5,5,13,261.71
4,1,4,21.93
1,0,1,0.61
5,5,12,181.82
3,2,15,65.97
3,3,14,48.86000000000001
5,2,8,206.25
3,1,11,148.86999999999998
2,2,11,42.480000000000004
3,3,12,188.97000000000003
4,3,10,262.09000000000003
1,3,6,182.29000000000002
4,0,5,17.64
4,3,8,164.47
2,2,6,127.31
3,2,16,66.08
3,2,18,318.21000000000004
5,0,0,0.0
5,3,12,207.63
6,6,12,244.02000000000004
2,0,9,26.209999999999997
4,3,2,53.74
2,1,5,112.23999999999998
2,1,3,90.43
4,3,3,89.97999999999999
3,0,7,20.65
4,3,17,245.21999999999997
3,2,13,39.449999999999996
3,2,2,22.13
4,4,8,139.53
3,2,5,22.57
3,0,1,11.37
1,4,6,109.09
1,0,3,5.45
2,2,4,71.82
4,3,8,201.28999999999996
4,3,12,261.95000000000005
6,3,8,98.99
2,1,5,97.63
2,0,7,19.03
6,2,1,24.85
2,1,6,14.810000000000002
4,0,3,3.47
2,1,13,41.370000000000005
3,2,7,135.91
4,3,10,91.87
5,4,17,251.76999999999998
4,2,11,38.459999999999994
4,2,3,51.81999999999999
3,0,4,18.84
1,0,7,11.270000000000001
3,2,6,26.139999999999997
2,2,5,117.64
2,2,6,155.34999999999997
1,0,2,2.12
5,5,7,161.33
2,0,4,13.879999999999999
2,1,12,39.230000000000004
4,2,20,147.05
0,2,4,87.1
4,4,22,48.24
2,2,9,173.65
3,1,12,48.83000000000001
5,5,14,287.44
5,5,13,209.05999999999997
3,1,7,26.189999999999998
4,4,8,194.09
4,3,14,303.22
2,0,4,20.520000000000003
2,0,7,12.74
3,1,4,57.81
3,1,9,37.04
5,5,7,144.32
3,0,4,99.61999999999999
4,2,3,64.2
3,3,3,84.37
3,2,7,27.730000000000004
2,2,17,72.78
4,3,6,139.41
3,5,26,87.13
5,2,3,41.13
2,0,4,12.23
3,3,14,150.92000000000002
4,1,2,56.95
4,0,0,0.0
5,6,19,355.49
2,3,6,138.29000000000002
4,0,0,0.0
4,1,6,12.159999999999998
1,3,8,139.04
4,2,2,31.9
1,2,5,90.17000000000002
3,1,7,51.75000000000001
1,2,9,34.910000000000004
4,1,6,23.22
3,1,10,171.55
3,0,9,9.18
2,0,0,0.0
3,1,1,15.23
3,6,17,150.91
4,4,14,237.84000000000003
4,2,2,60.28
4,2,19,167.88
1,0,6,16.58
1,2,6,159.87999999999997
2,1,2,32.82
1,2,3,89.28
2,3,9,132.19
3,0,10,28.659999999999997
5,4,4,57.68
1,1,8,108.09
3,1,8,43.93
2,6,14,208.86000000000004
3,4,19,253.53999999999996
4,4,13,180.59000000000003
6,3,6,139.91000000000003
3,3,8,135.5
5,4,16,216.48999999999998
6,6,11,93.56
0,2,1,21.02
3,0,6,15.46
3,2,14,283.03
3,0,3,6.0
0,1,5,17.169999999999998
0,1,6,180.86
5,3,6,86.64
4,3,6,58.519999999999996
4,1,5,129.44
2,1,10,23.4
3,0,4,10.67
4,3,22,189.28000000000006
4,2,17,51.819999999999986
4,4,10,77.56
2,0,5,7.87
4,2,7,82.8
2,2,9,264.49
4,6,19,322.74999999999994
4,2,19,75.03999999999998
5,5,12,187.97
4,0,9,28.67
4,3,13,195.76999999999998
3,2,11,166.72
5,0,14,31.47
4,0,4,8.129999999999999
2,1,5,17.119999999999997
2,1,12,184.95999999999998
3,3,8,133.25
2,2,3,64.78999999999999
4,3,5,102.03999999999999
4,4,23,213.23000000000002
2,2,3,56.83
3,2,16,51.10000000000001
3,0,14,36.34
3,0,8,231.46
3,2,14,51.47
2,2,4,95.74
2,2,6,129.85
2,3,3,62.5
4,2,7,120.44
4,3,3,90.22999999999999
4,2,5,107.23
3,1,2,57.58
4,3,7,177.87
3,3,7,38.370000000000005
4,2,12,33.57
2,0,6,12.4
5,4,11,255.41
4,3,13,180.07
2,0,5,10.99
3,5,4,83.21000000000001
3,2,15,36.28999999999999
2,2,6,160.77
3,3,8,151.88
3,1,12,34.28
3,0,3,11.18
3,3,17,55.120000000000005
3,3,3,89.97
5,1,4,76.4
1,5,6,163.14999999999998
3,1,11,31.580000000000005
4,3,7,105.7
4,4,14,374.26
4,2,17,60.18000000000001
5,0,8,14.839999999999998
5,4,9,107.51
5,1,2,49.34
1,3,5,133.53
3,2,4,100.34
3,4,7,77.74
5,3,12,224.45
5,4,11,185.71999999999997
1,3,10,182.67
4,4,10,259.8
0,1,3,77.01
5,5,7,120.02
4,2,19,68.36999999999999
4,2,3,49.83
3,6,15,257.21
2,1,5,17.29
3,3,7,171.84
3,3,11,50.73
6,3,20,58.82
6,4,5,117.93999999999998
4,4,8,223.52
3,3,7,75.89
3,1,6,24.589999999999996
4,0,2,5.65
4,4,5,143.47
6,4,10,226.19
4,3,11,161.25000000000003
3,3,9,138.7
3,3,12,183.68
1,2,16,70.78999999999999
4,2,4,65.11
3,1,17,39.790000000000006
6,4,9,124.25
3,0,9,27.43
3,1,5,123.08
4,2,18,30.510000000000005
2,0,6,16.38
2,3,6,124.50000000000001
2,1,5,15.610000000000001
3,1,11,41.71
4,3,4,103.17
4,4,11,185.07999999999998
4,4,8,207.19000000000003
3,3,17,153.83999999999997
3,4,15,400.53000000000003
2,0,4,6.6899999999999995
5,4,11,144.22
2,4,4,100.08
5,6,10,177.90000000000003
3,1,3,86.19999999999999
5,3,23,77.58
6,2,2,33.31
1,3,5,130.14
2,4,9,205.42000000000002
4,3,4,87.5
4,2,11,50.290000000000006
4,3,14,172.10000000000002
4,1,13,36.86
2,1,5,133.22
4,4,8,131.9
5,0,5,6.91
4,1,10,227.08
4,4,8,134.71
6,6,15,392.29
3,0,4,11.09
2,0,9,34.1
2,2,10,34.260000000000005
4,2,29,68.56
3,0,16,43.559999999999995
4,1,2,16.11
5,4,12,254.72
0,4,10,150.04
4,1,7,94.22999999999999
4,3,5,149.63
2,3,11,291.76
2,0,5,12.65
3,2,11,145.98999999999998
2,3,5,134.88000000000002
4,4,4,87.61
4,1,5,72.08
4,2,5,80.85
2,0,5,12.290000000000001
5,5,8,177.67
4,0,13,37.059999999999995
5,2,14,222.96
3,0,4,9.219999999999999
2,4,14,318.90999999999997
4,3,13,105.91000000000001
4,5,11,295.03999999999996
3,0,2,3.41
3,3,8,183.97
1,1,13,49.959999999999994
2,1,7,96.81
2,2,3,66.78
3,0,4,12.25
2,0,4,12.52
4,3,17,229.84
4,4,10,277.51
3,4,9,170.74
5,4,23,158.49999999999997
3,3,13,208.04000000000002
5,6,8,133.54
3,4,18,270.43
3,1,3,55.9
1,0,3,8.85
3,3,9,155.09
2,3,8,224.40000000000003
3,3,11,283.46000000000004
4,4,8,133.49
3,5,8,157.59
3,2,2,48.83
3,2,9,70.88999999999999
3,3,11,159.67999999999998
3,2,3,56.379999999999995
4,0,6,14.47
4,2,10,24.77
3,0,5,6.79
5,2,9,215.29
4,0,3,5.41
5,4,14,228.01000000000002
3,0,5,17.95
3,3,8,189.88
5,2,8,93.49000000000001
4,2,9,59.70000000000001
1,0,6,14.63
4,2,6,134.98999999999998
3,2,10,178.76000000000005
5,5,12,298.64
3,0,5,7.859999999999999
4,0,2,31.869999999999997
3,4,7,169.01
1,0,5,10.459999999999999
5,5,12,246.75
2,0,3,13.100000000000001
3,2,11,40.760000000000005
5,4,2,33.53
2,1,15,46.53000000000001
5,5,6,184.99
4,3,4,60.69
5,4,10,215.16
4,4,23,408.09999999999997
3,0,5,7.59
3,1,11,87.69999999999999
1,0,0,0.0
6,5,8,248.29000000000002
4,4,9,164.28
3,3,12,255.00000000000003
2,1,7,110.29000000000002
3,3,8,173.54
5,1,12,31.049999999999997
6,4,9,105.61
1,0,0,0.0
3,2,17,47.21
6,5,13,229.16999999999996
4,3,22,290.06999999999994
4,0,3,3.67
5,5,7,79.73
1,2,7,134.28
4,4,11,196.76
3,3,10,211.75
4,0,2,7.08
1,0,6,18.089999999999996
3,3,12,141.14000000000001
5,3,22,81.05000000000001
4,3,7,118.82
3,3,6,124.64
5,2,3,64.94999999999999
3,0,5,13.41
2,0,1,0.63
3,1,12,23.86
6,4,13,148.88000000000002
5,3,24,61.15999999999998
4,3,6,90.99999999999999
3,0,6,15.440000000000001
4,5,15,451.40999999999997
4,2,7,104.57000000000001
3,0,0,0.0
4,3,6,176.89
3,0,7,20.689999999999998
4,2,8,135.14
3,3,17,211.82000000000002
2,0,9,26.840000000000003
3,0,4,9.219999999999999
5,3,8,136.98
2,2,11,229.60999999999999
2,1,9,27.589999999999996
2,2,6,89.62
3,4,13,179.42000000000002
4,5,7,106.44
3,2,5,141.7
1,1,6,22.21
3,1,11,37.85
3,0,2,5.59
4,1,3,40.72
4,1,14,95.25
5,1,4,98.98
6,5,15,227.96999999999997
3,4,6,143.31
5,5,5,95.67
5,5,15,113.68
3,1,14,40.28
2,2,11,122.72999999999998
5,3,8,113.01
3,3,8,228.07
3,2,8,155.04
3,1,9,29.870000000000005
5,3,8,69.95
5,3,6,91.68
5,2,22,72.12
3,4,14,153.63000000000002
5,0,0,0.0
4,0,4,94.37
3,1,13,229.65999999999997
3,0,2,14.190000000000001
3,1,6,21.560000000000002
1,0,3,7.2
1,0,1,2.3
1,0,3,18.45
2,2,6,120.13
2,2,18,38.220000000000006
3,0,5,9.78
2,2,5,47.81
3,4,15,254.13999999999996
2,0,9,22.46
5,2,7,109.89999999999999
4,5,13,385.68999999999994
5,4,14,207.99
5,2,3,43.99
4,1,3,30.79
2,3,12,260.77000000000004
2,0,5,11.290000000000001
6,4,11,146.55
5,4,7,153.59000000000003
2,2,3,68.96000000000001
3,1,11,80.49
